#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
nzr7ekksmkjj573caunzrkqv6wrtpb5h,Work,Family,,,,,,3,Bored,Stressed,,,,,,Frustrated,,Weekly,Weekly,,,Excited,,,Lonely,Vulnerable,,,2,2,2,2,1,4,2,2,1,2,1,4,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,,Lonely,,Disappointed,Frustrated,,,"Career & Finances,Physical health,Relationships,Family,Mental health,Spirituality","Career & Finances,Physical health,Relationships,Mental health,Family,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,"No, it didn’t change",,5,5,3,5,5,5,2,5,7,Education,,Female,,24-30,I'm from New York State,White,Frustrated,nywhatsapp,2022-06-21 19:47:45,2022-06-21 19:55:20,468652552e
xhw83fculc6wwoqg1b8xhw83fxevkng1,Work,Family,,,,,,2,,Stressed,,,Peaceful,,,,,Weekly,Weekly,,Stressed,,,,,,,,5,3,5,5,5,3,5,5,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,"Yes, in 2020",,,,,,,Vulnerable,,,Anxious,,"Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality","Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,Other / I prefer not to answer,,2," 1",2,3,2," 1",2," 1",4,Education,,Female,,50-60,I'm from somewhere else in the US,White,Stressed,nywhatsapp,2022-06-21 19:43:41,2022-06-21 19:48:54,79945ddc35
mzfnwq9wou1mu1obdmzfn3bta9svwdxr,Work,,,,,Alone,,,,,,,,,,,,Daily,Daily,,Stressed,,,,Lonely,Vulnerable,,,5,5,5,5,5,5,5,3,3,5,5,5,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Relationships,Physical health,Career & Finances,Family,Mental health,Spirituality","Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,,"Yes, I quit my job",Career prospects,5,3," 1"," 1",5,4," 1",2,6,Information Technology,,Female,,24-30,I come from abroad,Asian,Frustrated,nywhatsapp,2022-06-21 19:27:17,2022-06-21 19:32:26,f5e61e13ea
l3dy8p71vdu3g0m70zl3dys8veusjda5,Work,Family,,,,,,3,Bored,Stressed,,,,Lonely,,,,Monthly,Weekly,,,Excited,,,,,,,5,4,5,5,4,4,5,3,4,5,3,3,,,,,,Hostile,Threatened,Anxious,,,,,"Yes, in 2022",Stressed,,,,,,,Anxious,,"Relationships,Family,Career & Finances,Physical health,Mental health,Spirituality","Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,,"No, it didn’t change",,5,5,3,2,5,5," 1",3,7,Health Care,,Female,,24-30,I'm from New York State,White,Anxious,nywhatsapp,2022-06-21 19:23:04,2022-06-21 19:28:45,381f18219e
o2u96d1fs9pcma304ixqro2u96d5qgw2,Study,Family,,,,,,3,Bored,,Free,,,Lonely,,,,Weekly,Daily,,,,,Peaceful,,,Disappointed,Anxious,5,5,5,5,5,5,5,4,5,5,5,5,,,Indifferent,,Disappointed,,,Anxious,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,Frustrated,,,"Relationships,Physical health,Career & Finances,Family,Mental health,Spirituality","Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality",Family,,Stressed,,,,Lonely,Disappointed,,,Yes because I changed my field of study,,,Family / Friends / Advisors Influence,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,4,4,8,,Information and Computing Sciences,Female,,20-24,I come from abroad,Asian,Lonely,nywhatsapp,2022-06-21 19:18:29,2022-06-21 19:22:37,663cee5ab5
iu8x2b5qqo6zt4yiu8x0nd6yz221mgt1,Study,,,Pets,,,,,,,,,,,Disappointed,,,Monthly,Every 3 months,,Stressed,,,,,Vulnerable,,,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,Hostile,Threatened,,,,"Yes, in 2020",,,,Optimistic,,,Vulnerable,,,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",Job,,,Free,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,2," 1"," 1"," 1"," 1",2," 1"," 1",6,,Information and Computing Sciences,Male,,20-24,I'm from New York State,Black or African American,Disappointed,,2022-06-21 17:13:56,2022-06-21 17:21:12,57606fe08b
9sm3d6wnt1687mi7tl9sm3d6ue65by1p,Work,,Friends,,,,,6,,,,,,,Disappointed,Frustrated,,Monthly,Monthly,,,Excited,,,,,Disappointed,,1,1,1,1,1,1,2,2,2,2,2,2,,,,Vulnerable,,,,,,,,"Yes, in 2021",,,,,,Vulnerable,,,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,,,,"No, it didn’t change",," 1"," 1"," 1"," 1",2," 1",2,2,5,Energy production & Distribution,,Female,,24-30,I'm from New York State,Black or African American,Disappointed,,2022-06-21 17:13:52,2022-06-21 17:19:26,57606fe08b
dsk9cy2awhhz28dskn6shhg6849xascs,Work,,Friends,,,,,5,,,,,,Lonely,Disappointed,,,Monthly,Monthly,,,,,,,Vulnerable,,Anxious,1,1,1,1,1,1,1,2,2,2,2,1,Proud,,,,,,,,,,,"Yes, in 2021",,,,Peaceful,,,,Frustrated,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Career & Finances,Mental health,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Unemployed,1,,,,,,,,,,"No, it didn’t change",," 1"," 1"," 1"," 1",2,2,2,2,7,Information Technology,,Female,,24-30,I'm from New York State,White,Lonely,,2022-06-21 17:13:49,2022-06-21 17:16:24,57606fe08b
192o9p3m5wgl30r5lbeqq0zj192o9ph8,Work,,,Pets,,,,,,,,,,,Disappointed,,Threatened,Weekly,Monthly,,,,,,,,Disappointed,Anxious,1,2,2,1,1,1,1,1,1,1,1,1,,,,Vulnerable,Disappointed,,,,,,,"Yes, in 2021",,Stressed,,,,Vulnerable,,,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,,,,,,,"No, it didn’t change",," 1",2,2," 1"," 1"," 1"," 1"," 1",6,Manufacturing & Logistics,,Female,,24-30,I'm from New York State,White,Frustrated,,2022-06-21 16:59:28,2022-06-21 17:07:10,57606fe08b
552f3erag2y8a5w552f36sce2dndzd7m,Study,,Friends,,,,,2,,Stressed,,,,Lonely,,,,Weekly,Monthly,,,,,Peaceful,,,Disappointed,,1,2,2,2,1,1,1,1,2,2,2,1,,,,Vulnerable,,,Threatened,Anxious,,,"Yes, in 2020",,,,,,Lonely,,Disappointed,,,Threatened,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",Job,,,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,," 1",2,2," 1"," 1"," 1"," 1"," 1",7,,Biological Sciences,Female,,24-30,I'm from New York State,White,Frustrated,,2022-06-21 16:59:23,2022-06-21 17:05:01,57606fe08b
