#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
gz68orzdr7dqj4n4q6bmgz68ormyavsn,Study,,Friends,,,,,6,,,Free,,,Lonely,Disappointed,,,Daily,Monthly,,Stressed,,,,Lonely,Vulnerable,,,5,3,2,4,2,5,4,2,4,2,5,4,Proud,Optimistic,Indifferent,,,,,,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,Optimistic,Peaceful,,,,Frustrated,,,"Physical health,Career & Finances,Relationships,Spirituality,Mental health,Family","Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family",Scholarship,Bored,,,Proud,,,Disappointed,,,Yes because I dropped out university,,,,,Better Career Prospects,,Started working,,,,,,,,,,,,,,,4,3,4," 1",5,3,4," 1",9,,Medical and Health Sciences,Male,,24-30,I'm from New York State,Asian,Vulnerable,xxxxx,2022-06-27 15:06:39,2022-06-27 15:08:20,1e09c87e36
zdnw99pycynqslxjzdnwawpfxzmjrbja,Work,Family,Friends,,,,,6,,Stressed,,Optimistic,,,,Frustrated,,Once per year,Monthly,Bored,,,,Peaceful,,,Disappointed,,4,2,4,3,3,3,4,3,1,1,3,2,Proud,,,,,Hostile,,,Free,No,,,,,,,,,,,,,"Physical health,Relationships,Family,Spirituality,Mental health,Career & Finances","Career & Finances,Physical health,Relationships,Spirituality,Family,Mental health",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,Aggresive,,Disappointed,,,Optimistic,,,"Yes, my company went out of business",Other / I prefer not to answer,4,2,3,2,5,5,3,4,9,Consumer Services & Retail,,Female,,24-30,I come from abroad,White,Free,xxxxx,2022-06-27 15:04:54,2022-06-27 15:06:35,4ef1b6b760
cno1lb4ske0cno1nm4pvh396mc0ct9aj,Work,Family,Friends,,Roommates,,,8,,,Free,,,Lonely,,,Threatened,Once per year,Monthly,Bored,Stressed,,,,,Vulnerable,,,4,2,4,2,4,2,2,4,3,4,3,3,,,,,Disappointed,,Threatened,Anxious,,,"Yes, in 2020",,,Stressed,,,,,Disappointed,,,,"Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality","Physical health,Relationships,Mental health,Family,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Self - employed,1,,Aggresive,,Disappointed,,,,enthusiastic,,"Yes, my company went out of business",Work environment,4,2,3,5,5,2," 1",3,9,Information Technology,,Female,,24-30,I come from abroad,White,Free,xxxxx,2022-06-27 15:02:38,2022-06-27 15:04:33,4f1d41685f
zagmsozhi6q5k7oxwakpizagmsod0jo4,Study,Family,,,,,,5,Bored,Stressed,,,,Lonely,,,,Daily,Monthly,Bored,,,Hopeful,,,Vulnerable,,,4,1,4,5,3,4,3,4,2,5,,3,,,,,Disappointed,,,Anxious,Free,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,Optimistic,,,,,Frustrated,Anxious,,"Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family","Physical health,Relationships,Mental health,Career & Finances,Spirituality,Family",Job,,,,,,Lonely,,Frustrated,Anxious,Yes because I dropped out university,,Change in learning modes,,,,,,,,,,,,,,,,,,,,4,3," 1",4,5,3,4,4,8,,Medical and Health Sciences,Male,,24-30,I'm from New York State,Asian,Stressed,xxxxx,2022-06-27 15:02:21,2022-06-27 15:03:54,63505c861f
c1ne6jv2jzj72l5h126pdc1ne6jvm7e5,Work,Family,Friends,,Roommates,,,4,,Stressed,,Optimistic,,,,,Threatened,Once per year,Weekly,,,Excited,,Peaceful,,,,Anxious,4,5,3,3,5,3,5,1,1,4,1,4,,Optimistic,,,,,Threatened,Anxious,,No,,,,,,,,,,,,,"Relationships,Spirituality,Physical health,Mental health,Career & Finances,Family","Mental health,Spirituality,Career & Finances,Physical health,Relationships,Family",,,,,,,,,,,,,,,,,,,,Homemaker,1,,,,Disappointed,,Lonely,,,stressed,"Yes, I had a reduction in working hours and/or wage",Change in personal interests,5,2,4,2," 1",2,3," 1",4,Education,,Female,,24-30,I come from abroad,Asian,Lonely,xxxxx,2022-06-27 14:59:43,2022-06-27 15:01:32,df0fd071e8
mmzmb5cz37yygqrmmv70turri7h33icr,Work,,,,Roommates,,,9,Bored,,,Optimistic,,,,,Threatened,Monthly,Once per year,,Stressed,Excited,,,,,Disappointed,,5,2,4,3,4,4,4,3,2,3,2,2,,,Indifferent,,,Hostile,,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,,,Lonely,,Disappointed,,Anxious,,"Relationships,Physical health,Career & Finances,Family,Mental health,Spirituality","Spirituality,Physical health,Mental health,Relationships,Career & Finances,Family",,,,,,,,,,,,,,,,,,,,Homemaker,0,Free,,Frustrated,,,Lonely,,,,"Yes, my contract ended",Work environment,4,2,4,4,5,3," 1"," 1",9,Energy production & Distribution,,Male,,30-40,I come from abroad,Asian,Disappointed,xxxxx,2022-06-27 14:58:52,2022-06-27 15:01:18,830125082b
d41gfhuqtj59k7gdd41gfmwdpvltu2wr,Work,Family,,Pets,,,,,,,,,,,Disappointed,Frustrated,Threatened,Weekly,Daily,Bored,,,,Peaceful,Lonely,,,,5,2,4,3,4,3,2,5,3,4,3,4,,,Indifferent,,,Hostile,,,,,"Yes, in 2020",,,,Optimistic,,,,,Frustrated,Anxious,,"Physical health,Spirituality,Mental health,Career & Finances,Relationships,Family","Spirituality,Career & Finances,Physical health,Mental health,Relationships,Family",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,Aggresive,,,Vulnerable,Lonely,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,4,2,4,3,5,2,5,5,2,Media & Entertainment,,Female,,20-24,I come from abroad,Asian,Anxious,xxxxx,2022-06-27 14:55:11,2022-06-27 14:56:58,8f75890e23
ms2viz5a2cip6jnms2viphzkqq1h71lt,Work,,Friends,Pets,,,,,,,,Optimistic,Peaceful,Lonely,,,,Once per year,Monthly,,Stressed,,,Peaceful,Lonely,,,,3,2,4,3,4,2,5,2,4,2,4,3,,,Indifferent,,Disappointed,,,Anxious,,,"Yes, in 2020",,,Stressed,,Peaceful,,Vulnerable,,,,,"Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family","Mental health,Relationships,Spirituality,Family,Career & Finances,Physical health",,,,,,,,,,,,,,,,,,,,Homemaker,1,,,Frustrated,,Vulnerable,Lonely,,,,"Yes, I had a reduction in working hours and/or wage",Work environment,5,2,3,4,4,2,3,5,5,Consumer Services & Retail,,Female,,24-30,I come from abroad,Asian,Peaceful,xxxxx,2022-06-27 14:53:05,2022-06-27 14:54:48,d9dea7eb7c
rghrlncs2jve839rghrl9udgbt7pyxuu,Study,,,,Roommates,,People I didn't know,4,,Stressed,,,,Lonely,,Frustrated,,Every 3 months,Monthly,,Stressed,,,,Lonely,,Disappointed,,2,3,1,3,1,3,2,3,4,2,5,3,,,,,,Hostile,Threatened,,Free,,"Yes, in 2020",,,,Optimistic,,,,,Frustrated,,Threatened,"Relationships,Mental health,Career & Finances,Spirituality,Physical health,Family","Mental health,Spirituality,Family,Physical health,Relationships,Career & Finances",Other / I prefer not to answer,Bored,,,Proud,,,Disappointed,,,Yes because I changed my field of study,,Change in learning modes,,,,Economic Difficulties,,,,,,,,,,,,,,,,2,5,3,4,2,3," 1",4,4,,Chemical Sciences,Female,,30-40,I come from abroad,Asian,Optimistic,xxxxx,2022-06-27 14:51:01,2022-06-27 14:52:39,a6e03abc12
jcvnd8tpng07lwokh9pgr8jcvnl4qxbx,Work,,Friends,,Roommates,,,3,,,,,Peaceful,,,,Threatened,Once per year,Weekly,,Stressed,,,,Lonely,,,Anxious,4,2,3,4,3,4,5,2,5,5,2,4,,,,Vulnerable,,Hostile,,,Free,,"Yes, in 2020",,,Stressed,Optimistic,,,,,,Anxious,,"Family,Mental health,Career & Finances,Physical health,Relationships,Spirituality","Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Homemaker,1,Free,,,,Vulnerable,,Optimistic,,,"Yes, I had a reduction in working hours and/or wage",Career prospects,4,2,4,3,2,5,2,4,4,Utilities,,Male,,40-50,I come from abroad,Asian,Frustrated,xxxxx,2022-06-27 14:48:51,2022-06-27 14:50:31,8916f2c71c
ol45vamvu8sahi6lgol44p89ts2yg27o,Work,,Friends,,,,,10,,,Free,,Peaceful,Lonely,,,,Monthly,Every 3 months,,,,,Peaceful,Lonely,,,Anxious,5,3,4,2,4,3,3,2,3,4,5,4,,,Indifferent,,Disappointed,Hostile,,,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,,Disappointed,,,Threatened,"Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family","Spirituality,Physical health,Mental health,Relationships,Career & Finances,Family",,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,Aggresive,,Disappointed,Vulnerable,,,,,"Yes, due to smartworking",I wanted to work remotely,4,2,5,4,4,5,3,2,8,Information Technology,,Male,,40-50,I'm from somewhere else in the US,Asian,Distant,xxxxx,2022-06-27 14:49:20,2022-06-27 14:49:27,5571454311
wgby3sp4p4a449vj452t3pwgby3sp1uj,Work,Family,,,,,People I didn't know,4,,Stressed,,Optimistic,,Lonely,,,,Monthly,Daily,Bored,Stressed,,,,,Vulnerable,,,4,2,4,3,4,4,5,3,5,3,2,4,,,,Vulnerable,,,Threatened,Anxious,,No,,,,,,,,,,,,,"Physical health,Spirituality,Mental health,Career & Finances,Relationships,Family","Mental health,Career & Finances,Physical health,Family,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Homemaker,1,,,Frustrated,Disappointed,,Lonely,,,,"Yes, I had a reduction in working hours and/or wage",Work environment,2,4,3,4,5,2,5,5,4,Manufacturing & Logistics,,Female,,20-24,I come from abroad,Asian,Lonely,xxxxx,2022-06-27 14:46:22,2022-06-27 14:48:21,12434bb776
7mczq7arbqm1ifa6huqy7mczqinlafyg,Work,,,,Roommates,,,4,Bored,,,,,Lonely,,Frustrated,,Monthly,Monthly,,Stressed,Excited,,,,,,Anxious,5,3,2,3,3,4,4,3,2,2,4,4,,Optimistic,,Vulnerable,Disappointed,,,,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,,Lonely,,,,,,"Mental health,Physical health,Career & Finances,Relationships,Spirituality,Family","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,Frustrated,,,Lonely,,enthusiastic,,"Yes, my company went out of business",Financial reasons,4,2,4,3,5,3,2," 1",9,Utilities,,Male,,40-50,I'm from New York State,Asian,Vulnerable,xxxxx,2022-06-27 14:44:00,2022-06-27 14:45:34,2b4ef93c7e
4q4r9e1edyjx9i5b6u94q4r9eyhrla1x,Both,,,Pets,Roommates,,,,,,,,,Lonely,,,Threatened,Every 3 months,Daily,Bored,,,,Peaceful,,,,Anxious,4,2,5,3,2,3,5,3,4,5,2,4,,Optimistic,,Vulnerable,,Hostile,,,,,"Yes, in 2020",,,,,,Lonely,Vulnerable,,,,,"Relationships,Physical health,Spirituality,Career & Finances,Mental health,Family","Mental health,Spirituality,Physical health,Family,Relationships,Career & Finances",Scholarship,,,Free,,,,,,,Yes because I dropped out university,,,Family / Friends / Advisors Influence,,Better Career Prospects,Economic Difficulties,Started working,,,,,,,,,,,,,,,4,3,4,2,5,2,5,5,5,,Information and Computing Sciences,Male,,24-30,I come from abroad,Asian,Vulnerable,xxxxx,2022-06-27 14:42:31,2022-06-27 14:45:05,8b77498e6d
vm6ad4h9k13zaefexj93vm6ad4hj5jys,Work,Family,Friends,,,,,9,,,Free,,Peaceful,,Disappointed,,,Every 3 months,Daily,Bored,Stressed,,,Peaceful,,,,,5,2,3,4,3,3,2,4,5,5,4,4,,,,,Disappointed,,Threatened,Anxious,,,"Yes, in 2020",,,,,,,,Disappointed,Frustrated,Anxious,,"Mental health,Spirituality,Physical health,Career & Finances,Relationships,Family","Physical health,Spirituality,Career & Finances,Mental health,Relationships,Family",,,,,,,,,,,,,,,,,,,,Homemaker,1,,Aggresive,,,Vulnerable,,,enthusiastic,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely,4,2,4,3,4,3,2,4,5,Education,,Male,,24-30,I come from abroad,Asian,Peaceful,xxxxx,2022-06-27 14:38:07,2022-06-27 14:40:05,1d044e4ad7
ch5bmv97olvf6cxoefyzch5bmv9mpweb,Work,,,Pets,,,People I didn't know,,Bored,Stressed,,,,Lonely,,,,Once per year,Monthly,,,,,,Lonely,Vulnerable,Disappointed,,3,5,2,4,3,4,2,5,2,4,2,4,,Optimistic,,,,Hostile,,,Free,,"Yes, in 2020",,,Stressed,,Peaceful,,,,Frustrated,,,"Spirituality,Mental health,Relationships,Physical health,Career & Finances,Family","Physical health,Family,Relationships,Career & Finances,Spirituality,Mental health",,,,,,,,,,,,,,,,,,,,Homemaker,1,,Aggresive,,Disappointed,,,Optimistic,,,"Yes, due to smartworking",Work environment,4,3,4,3,2,5,5,2,4,Real Estate,,Male,,24-30,I come from abroad,Asian,Peaceful,xxxxx,2022-06-27 14:36:10,2022-06-27 14:37:48,9d8afc3653
9nprfmaq4cbgq9f7f9nprfe9b35n1e06,Work,,,,Roommates,,,5,,,Free,Optimistic,,,,,,Daily,Monthly,,,,Hopeful,Peaceful,,Vulnerable,,,4,2,4,3,4,3,1,2,3,1,4,1,Proud,,,Vulnerable,,Hostile,,,,No,,,,,,,,,,,,,"Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family","Relationships,Spirituality,Physical health,Career & Finances,Mental health,Family",,,,,,,,,,,,,,,,,,,,Business owner,1,Free,,Frustrated,,,,Optimistic,,,"Yes, I had a reduction in working hours and/or wage",Change in personal interests,4,3,2,3,5,2,4,4,4,Food & Consumer Goods,,Male,,30-40,I come from abroad,Asian,Frustrated,xxxxx,2022-06-27 14:33:45,2022-06-27 14:35:51,39c7d33aff
dbhin5tkpjesnvo4o0padbhin5tn7rjv,Study,,,,,Alone,,,,,,,,,,,,Weekly,Monthly,,,Excited,,,Lonely,Vulnerable,,,5,3,4,2,4,4,3,2,3,4,3,4,,,Indifferent,Vulnerable,,,,Anxious,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,,,,Disappointed,,,,"Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family","Mental health,Physical health,Spirituality,Relationships,Career & Finances,Family",Family,Bored,,,,,Lonely,,Frustrated,,Yes because I dropped out university,Change in personal interests,,Family / Friends / Advisors Influence,,,Economic Difficulties,,,,,,,,,,,,,,,,3,2," 1",3,4,3,2,4,7,,Built Environment and Design,Male,,50-60,I'm from New York State,Asian,Vulnerable,xxxxx,2022-06-27 14:32:22,2022-06-27 14:33:57,76b7297bfe
gzqx8pmui4wrk0xh1otgzqx8pmpy876o,Study,,Friends,,Roommates,,,4,,,Free,,,,,Frustrated,Threatened,Monthly,Daily,,,,,,Lonely,Vulnerable,,Anxious,4,2,4,5,2,4,2,5,3,4,2,4,,,Indifferent,,,Hostile,,Anxious,,,"Yes, in 2020",,,,,Peaceful,,,Disappointed,,,,"Mental health,Physical health,Career & Finances,Spirituality,Relationships,Family","Relationships,Family,Physical health,Mental health,Spirituality,Career & Finances",Family,,,Free,,,,,Frustrated,Anxious,Yes because I changed my field of study,,Change in learning modes,,Low grades,,Economic Difficulties,,,,,,,,,,,,,,,,4,2,4,3,3,2,4,2,4,,Studies in Creative Arts and Writing,Male,,40-50,I come from abroad,Asian,Optimistic,xxxxx,2022-06-27 14:31:03,2022-06-27 14:33:08,deb00a1ce3
1532cz6qr5wl0csm28n15326a77obzzi,Work,Family,Friends,,,,,6,,,,Optimistic,,Lonely,Disappointed,,,Every 3 months,Weekly,,,,,,,Vulnerable,Disappointed,Anxious,5,2,4,3,2,4,4,3,1,3,2,3,Proud,,,,,,Threatened,Anxious,,No,,,,,,,,,,,,,"Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family","Career & Finances,Spirituality,Mental health,Relationships,Physical health,Family",,,,,,,,,,,,,,,,,,,,Self - employed,1,,Aggresive,,,Vulnerable,,Optimistic,,,"Yes, my company went out of business",Financial reasons,3,5,2,4,5,2,5,3,5,Financials,,Male,,30-40,I come from abroad,Asian,Distant,xxxxx,2022-06-27 14:28:07,2022-06-27 14:30:35,1740a20323
3oiwl06c3o4bf3spkd48c89av0cspzby,Study,,,,Roommates,,,2,Bored,,,Optimistic,,,,Frustrated,,Every 3 months,Daily,Bored,,,,Peaceful,,,,Anxious,4,3,3,4,2,4,5,2,5,4,2,5,Proud,,,,Disappointed,,,,Free,,"Yes, in 2020",,,Stressed,Optimistic,,,,,,Anxious,,"Physical health,Relationships,Mental health,Spirituality,Career & Finances,Family","Family,Mental health,Physical health,Career & Finances,Spirituality,Relationships",Family,Bored,Stressed,,,,,,Frustrated,,Yes because I changed my field of study,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,,,,,,,,,,,,,,,,,,,4,3,5,3," 1",3,2,4,3,,Medical and Health Sciences,Male,,30-40,I come from abroad,Asian,Peaceful,xxxxx,2022-06-27 14:24:13,2022-06-27 14:26:33,b580e1d602
ojq8t66akui5kbnkeiojq8mohcsp6605,Study,Family,,,,,,8,Bored,,Free,,Peaceful,,,,,Daily,Monthly,,,Excited,,,,,Disappointed,Anxious,5,3,4,4,2,4,5,3,2,3,4,3,,,Indifferent,,Disappointed,,Threatened,,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,Vulnerable,,Frustrated,,,"Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Scholarship,,,,,Optimistic,,Disappointed,,Anxious,Yes because I dropped out university,,,,,Better Career Prospects,Economic Difficulties,Started working,,,,,,,,,,,,,,,4,5,3,4,2,3,4,3,9,,Medical and Health Sciences,Male,,30-40,I come from abroad,Asian,Vulnerable,xxxxx,2022-06-27 14:22:34,2022-06-27 14:24:18,b332a8155e
kpenokjxl5r80z0px4i0kpenok2ed6bk,Work,Family,,,Roommates,,People I didn't know,8,,Stressed,,,,,Disappointed,,Threatened,Once per year,Monthly,,Stressed,,,,Lonely,Vulnerable,,,3,4,2,2,4,3,5,3,4,2,4,4,,Optimistic,Indifferent,,,,Threatened,,,,"Yes, in 2020",,,,,Peaceful,,,,,,Threatened,"Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality","Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,Disappointed,Vulnerable,,Optimistic,,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely,4,2,4,2,5," 1",5,3,10,Education,,Male,,24-30,I come from abroad,Asian,Vulnerable,xxxxx,2022-06-27 14:21:15,2022-06-27 14:23:05,20033c5e1e
33fqivkr64ou1nw7t533fqivjmzydymg,Work,Family,Friends,,,,,8,,,,,Peaceful,,Disappointed,Frustrated,,Once per year,Monthly,Bored,Stressed,,,,,,,Anxious,3,4,3,3,5,4,5,2,4,3,5,3,,,Indifferent,Vulnerable,,,,Anxious,,No,,,,,,,,,,,,,"Career & Finances,Mental health,Spirituality,Relationships,Physical health,Family","Career & Finances,Physical health,Spirituality,Mental health,Family,Relationships",,,,,,,,,,,,,,,,,,,,Unemployed,1,,Aggresive,,,Vulnerable,,Optimistic,,,"Yes, my contract ended",Career prospects,5,2,4,3,2,3,2,3,3,Consumer Services & Retail,,Female,,30-40,I come from abroad,Asian,Lonely,xxxxx,2022-06-27 14:18:44,2022-06-27 14:20:45,c1e361bcef
h7mfy1fgnv7hx34wzh7mfy1fg5ch28hj,Work,,Friends,,,,,5,,,Free,Optimistic,,Lonely,,,,Monthly,Every 3 months,,,,,Peaceful,,Vulnerable,Disappointed,,4,2,1,3,3,4,5,3,4,2,4,1,,Optimistic,,Vulnerable,,Hostile,,,,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,,,Lonely,Vulnerable,Disappointed,,,,"Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family","Spirituality,Physical health,Mental health,Relationships,Career & Finances,Family",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,Disappointed,Vulnerable,,,,,"No, it didn’t change",,4,2,5,3,4,3,2,3,8,Food & Consumer Goods,,Male,,30-40,I come from abroad,Asian,Optimistic,xxxxx,2022-06-27 14:17:01,2022-06-27 14:18:54,1e1e0532de
gnzagt24s98p741eji9hgnzagt26kmaa,Work,,Friends,Pets,,,,,,Stressed,Free,Optimistic,,,,,,Every 3 months,Daily,,,,,Peaceful,Lonely,,Disappointed,,4,2,5,3,5,3,3,4,3,5,2,3,Proud,,,Vulnerable,,,,,Free,,"Yes, in 2020",,,Stressed,,,Lonely,,,Frustrated,,,"Spirituality,Career & Finances,Physical health,Mental health,Relationships,Family","Physical health,Relationships,Family,Career & Finances,Mental health,Spirituality",,,,,,,,,,,,,,,,,,,,Unemployed,1,,,,Disappointed,,,Optimistic,enthusiastic,,"Yes, I had a reduction in working hours and/or wage",Other / I prefer not to answer,4,2,3,5,4,2,4,4,3,Health Care,,Female,,24-30,I come from abroad,Asian,Anxious,xxxxx,2022-06-27 14:16:12,2022-06-27 14:18:15,c81caa1d88
juaanvp77fjl7hmsjkwjuaangjpjn9a2,Work,Family,,,,,,2,,,,,,Lonely,Disappointed,Frustrated,,Monthly,Once per year,,Stressed,Excited,,Peaceful,,,,,5,4,2,3,4,4,3,4,3,3,2,3,,,,Vulnerable,,Hostile,,,Free,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,Optimistic,,,,,Frustrated,,Threatened,"Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family","Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Unemployed,0,,,,Disappointed,,,Optimistic,enthusiastic,,"No, it didn’t change",,4,2,5,4,3,2,4,2,6,Real Estate,,Male,,30-40,I'm from somewhere else in the US,Asian,Frustrated,xxxxx,2022-06-27 14:14:57,2022-06-27 14:16:33,0ffe98fca1
u5pi23gjk9hli3uluu5pizsc8bzsc0my,Work,,Friends,,,,People I didn't know,3,,,,,Peaceful,Lonely,,Frustrated,,Once per year,Monthly,,,Excited,,,,Vulnerable,,Anxious,4,2,3,5,3,3,5,2,1,5,3,2,Proud,,Indifferent,,,Hostile,,,,No,,,,,,,,,,,,,"Physical health,Spirituality,Mental health,Family,Career & Finances,Relationships","Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family",,,,,,,,,,,,,,,,,,,,Unemployed,1,,Aggresive,,,Vulnerable,,,enthusiastic,,"Yes, I had a reduction in working hours and/or wage",Other / I prefer not to answer,3,4,3,4,5,2,5,3,2,Financials,,Female,,30-40,I come from abroad,Asian,Lonely,xxxxx,2022-06-27 14:13:13,2022-06-27 14:15:49,38fa3d63a9
x4ithxouhpahkwujnyx4ithxojmsg8y2,Work,,,Pets,,,,,,,,Optimistic,,,Disappointed,Frustrated,,Weekly,Monthly,,,,Hopeful,,,Vulnerable,,Anxious,5,3,4,3,5,4,3,2,4,3,4,3,,Optimistic,,Vulnerable,,,,,Free,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",,Optimistic,,Lonely,,,,,Threatened,"Spirituality,Career & Finances,Physical health,Mental health,Relationships,Family","Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Business owner,0,,,,,Vulnerable,,Optimistic,enthusiastic,,"Yes, due to smartworking",Work environment,3,2,4,2,5,3,4,4,8,Information Technology,,Male,,18-20,I'm from somewhere else in the US,Asian,Vulnerable,xxxxx,2022-06-27 14:12:49,2022-06-27 14:14:24,7ec5556dee
rsu658g56z9ukehltrsu6mcxwhx5xq50,Work,Family,,Pets,,,,,,,,Optimistic,,Lonely,,,Threatened,Monthly,Every 3 months,,,,,Peaceful,Lonely,,,Anxious,4,2,3,5,2,3,5,2,3,5,2,4,Proud,,,,,,Threatened,,,,"Yes, in 2020",,,,,,Lonely,,Disappointed,Frustrated,,,"Relationships,Mental health,Physical health,Spirituality,Career & Finances,Family","Relationships,Spirituality,Mental health,Physical health,Career & Finances,Family",,,,,,,,,,,,,,,,,,,,Not able to work,1,,,,Disappointed,Vulnerable,,Optimistic,,,"Yes, my company went out of business",Work environment,3,4,2,3,5,2,5,2,4,Other / I prefer not to answer,,Female,,40-50,I come from abroad,Asian,Distant,xxxxx,2022-06-27 14:10:44,2022-06-27 14:12:53,72950afa41
jyyjjf3yofab1pa0qgjyybmpj0pe9fao,Study,,,,Roommates,,,9,Bored,,,,Peaceful,,,Frustrated,,Weekly,Every 3 months,,,Excited,Hopeful,,,,,Anxious,5,3,4,2,5,4,4,3,2,4,3,4,,,,,Disappointed,,,Anxious,Free,,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,,,,Vulnerable,,,,Threatened,"Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family","Spirituality,Physical health,Mental health,Relationships,Career & Finances,Family",Loan,,Stressed,,,,Lonely,,,Anxious,Yes because I dropped out university,,,Family / Friends / Advisors Influence,,Better Career Prospects,Economic Difficulties,Started working,,,,,,,,,,,,,,,3,4,2,4,5,3,4,2,5,,Biological Sciences,Male,,24-30,I'm from New York State,Asian,Stressed,xxxxx,2022-06-27 14:10:28,2022-06-27 14:12:09,0de536dc3d
