#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,1 before COVID-19?,2 before COVID-19?,3 before COVID-19?,4 before COVID-19?,5 before COVID-19?,6 before COVID-19?,1 during COVID-19?,2 during COVID-19?,3 during COVID-19?,4 during COVID-19?,5 during COVID-19?,6 during COVID-19?,Main Income,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
IT,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,1,5,5,5,5,5,1,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,Peaceful,,,,,,,Family,Relationships,Career & Finances,Physical health,Mental health,Spirituality,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family,Bored,Stressed,,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,1,,Informatica e scienze dell'informazione,Male,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,Anxious,,,,,,,Stressed,,1,3,4,1,1,3,4,5,5,1,5,5,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",Stressed,,,Lonely,,,Frustrated,,,Career & Finances,Relationships,Family,Physical health,Mental health,Spirituality,Physical health,Relationships,Mental health,Spirituality,Family,Career & Finances,Family,,,,,,Lonely,Disappointed,,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,4,5,4,4,5,5,5,5,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,Other / I prefer not to answer,
IT,Study,Family,,,,,,3,Bored,,,,,,Frustrated,,,Daily,Weekly,,,Vulnerable,,,,,,,5,4,2,5,5,5,5,3,1,5,5,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Relationships,Family,Mental health,Physical health,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Family,,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,5,5,7,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Work,Family,,,,,Alone,,,,,,,,,,,Weekly,Weekly,,,,Lonely,,,Excited,,Bored,4,4,4,4,4,4,4,4,4,4,4,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality,Mental health,Relationships,Family,Career & Finances,Physical health,Spirituality,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Optimistic,,Stressed,"Yes, I quit my job",Other / I prefer not to answer,3,3,2,3,4,4,2,4,8,Information Technology,,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,Bored,,,,Peaceful,,Frustrated,,,Weekly,Daily,,Disappointed,,,,,,,,5,5,4,5,4,5,4,4,4,5,4,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Mental health,Career & Finances,Family,Relationships,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,5,5,4,5,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,2,Bored,Stressed,,,,Lonely,,,,Daily,Daily,,,,,Peaceful,Optimistic,,,,4,4,2,5,4,5,4,4,2,5,2,4,,,,,Disappointed,,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Family,Relationships,Physical health,Mental health,Spirituality,Relationships,Mental health,Family,Physical health,Career & Finances,Spirituality,Family,Bored,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,5,5,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,4,3,2,5,5,5,3,3,1,5,4,5,,,,,Disappointed,Hostile,,,,,,,"Yes, in 2022",Stressed,,,,,,Frustrated,Anxious,,Career & Finances,Family,Relationships,Mental health,Physical health,Spirituality,Career & Finances,Mental health,Family,Relationships,Physical health,Spirituality,Family,,,Free,Proud,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,4,3,3,7,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,Pets,,,,,Bored,Stressed,,,,,,,Anxious,Weekly,Daily,Anxious,,,,,,,,,5,4,4,5,5,5,4,4,4,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,,,"Yes, in 2022",Stressed,,,,,,,Anxious,,Career & Finances,Physical health,Family,Relationships,Mental health,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Family,,Stressed,,,,,Disappointed,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,3,2,2,7,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,,,Frustrated,,Anxious,Weekly,Daily,,,,,,,Excited,,,4,4,2,4,4,4,4,3,2,4,4,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",Stressed,,,,,,Frustrated,Anxious,,Family,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality,Family,,Stressed,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,3,2,2,5,4,4,5,8,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,,Stressed,,,,Lonely,,,Anxious,Weekly,Daily,,,,,Peaceful,Optimistic,,,,1,1,1,1,1,1,1,3,5,1,1,1,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",,,,Lonely,,,Frustrated,Anxious,,Career & Finances,Mental health,Physical health,Relationships,Family,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Family,,,,,,Lonely,Disappointed,Frustrated,,Yes because I changed my field of study,,Change in learning modes,,,,,,,,,,,,,,,,,,,,1,3,1,1,5,5,4,5,5,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,,Stressed,,,,,,,,Daily,Daily,,,Vulnerable,,,,,,,4,4,3,5,4,5,3,2,2,5,2,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",,,,,,,Frustrated,,,Career & Finances,Relationships,Family,Physical health,Spirituality,Mental health,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Family,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,4,3,3,3,7,,Informatica e scienze dell'informazione,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,4,,,,,Peaceful,,,,,Daily,Daily,Anxious,,,Lonely,,,,Stressed,,5,5,5,5,5,5,5,5,3,5,5,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Family,Relationships,Mental health,Physical health,Spirituality,Career & Finances,Mental health,Family,Relationships,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,2,5,4,3,5,8,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,,Optimistic,,,,3,1,2,1,1,1,1,1,1,1,1,1,,,Indifferent,,,,,,,,"Yes, in 2020",,,,,,,Vulnerable,,,,,Mental health,Family,Relationships,Physical health,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,Stressed,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,Friends,Pets,,,,,,,,,Peaceful,,,,,Daily,Daily,,Disappointed,,Lonely,,,,,Bored,4,3,5,5,2,3,3,2,3,5,2,3,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality,Relationships,Physical health,Mental health,Family,Career & Finances,Spirituality,Family,Bored,Stressed,,,,,Disappointed,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Informatica e scienze dell'informazione,Male,18-20,I am Italian,White,
IT,Study,Family,,,,,,2,Bored,,,,,,Frustrated,,Anxious,Weekly,Daily,,,,,,,,,Bored,5,5,4,5,5,5,5,4,2,5,5,5,,,,,Disappointed,Hostile,,,,,,,"Yes, in 2022",,,Peaceful,,Vulnerable,,,,,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Family,Bored,,,,,,Disappointed,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,5,3,3,5,5,3,4,9,,Ingegneria e tecnologia,Male,24-30,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Monthly,Monthly,,,,,Peaceful,,,,,5,3,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Mental health,Career & Finances,Family,Physical health,Relationships,Spirituality,Mental health,Career & Finances,Family,Physical health,Relationships,Spirituality,Family,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,4,4,4,4,8,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,5,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,Optimistic,,,,5,5,4,5,5,5,5,3,1,5,3,3,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Family,Bored,Stressed,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,5,4,5,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,4,3,2,3,5,5,3,2,2,3,4,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Mental health,Family,Spirituality,Career & Finances,Physical health,Relationships,Mental health,Family,Spirituality,Career & Finances,Physical health,Relationships,Family,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,4,4,4,2,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,Other / I prefer not to answer,
IT,Study,Family,,,,,,2,,Stressed,,,,Lonely,Frustrated,,,Daily,Daily,,Disappointed,,,,,,,,5,5,1,3,4,5,5,4,1,3,4,4,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Relationships,Physical health,Family,Career & Finances,Mental health,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,5,5,5,5,9,,Ingegneria e tecnologia,Male,20-24,I've always lived in Milan,White,
IT,Study,Family,,,,,Alone,,,,,,,,,,,Daily,Daily,,,,Lonely,,,,Stressed,,5,3,2,4,4,3,4,2,2,2,3,2,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Relationships,Career & Finances,Mental health,Family,Physical health,Spirituality,Mental health,Career & Finances,Relationships,Family,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,Frustrated,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,4,7,,Ingegneria e tecnologia,Male,24-30,I am Italian,White,
IT,Study,Family,,Pets,,,,,Bored,Stressed,,,,,,,,Daily,Daily,,,,,Peaceful,,,,,5,4,3,2,2,4,4,2,2,2,2,3,Free,,Indifferent,,,,,,Free,No,,,,,,,,,,,,,Family,Relationships,Career & Finances,Mental health,Physical health,Spirituality,Career & Finances,Relationships,Family,Mental health,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,5,5,5,8,,Informatica e scienze dell'informazione,Male,18-20,I am Italian,White,
IT,Study,Family,,,,,,4,,,,,Peaceful,Lonely,,,,Daily,Daily,,,,,,Optimistic,,,,4,3,3,5,5,5,4,1,3,5,4,3,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,Stressed,,,,Lonely,Disappointed,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,4,4,2,3,7,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Neither,Family,,,,,,5,,,Free,,,,Frustrated,,,Daily,Monthly,,Disappointed,,Lonely,,Optimistic,,,,4,3,4,5,2,5,4,3,5,5,1,4,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Physical health,Relationships,Family,Mental health,Career & Finances,Spirituality,Family,Relationships,Career & Finances,Mental health,Physical health,Spirituality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,5,5,5,4,9,Other / I prefer not to answer,,Male,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,,Stressed,,,,,,,,Daily,Daily,,,,Lonely,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Relationships,Mental health,Physical health,Family,Career & Finances,Spirituality,Relationships,Mental health,Physical health,Career & Finances,Family,Spirituality,Job,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,4,3,2,2,9,,Ingegneria e tecnologia,Male,24-30,I've always lived in Milan,White,
IT,Study,Family,Friends,Pets,,,,,Bored,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,3,2,4,3,4,4,3,2,3,3,3,4,,,Indifferent,,,,,,,,,,"Yes, in 2022",,,Peaceful,,,,,,,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Mental health,Family,Relationships,Career & Finances,Physical health,Spirituality,Other / I prefer not to answer,Bored,,Free,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,7,,Ingegneria e tecnologia,Male,20-24,I come from abroad,Hispanic / Latino,
IT,Study,Family,Friends,Pets,,,Alone,,,,,,,,,,,Monthly,Weekly,,,,Lonely,,Optimistic,,,,5,4,5,3,3,3,4,4,4,4,3,3,,,Indifferent,,,Hostile,Threatened,,,,"Yes, in 2020",,,,Optimistic,Peaceful,,,,,,,Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality,Mental health,Career & Finances,Relationships,Physical health,Family,Spirituality,Other / I prefer not to answer,Bored,Stressed,,Proud,,,,,,Yes because I changed my field of study,,Change in learning modes,,,Better Career Prospects,,,,,,,,,,,,,,,,,4,4,2,2,5,5,4,5,7,,Ingegneria e tecnologia,Male,20-24,I've always lived in Milan,White,
IT,Study,Family,Friends,,,,,2,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,,,,Optimistic,Excited,,,5,5,4,5,5,5,5,5,3,5,4,4,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",,,,Lonely,,,Frustrated,,,Relationships,Family,Career & Finances,Physical health,Mental health,Spirituality,Physical health,Relationships,Mental health,Family,Career & Finances,Spirituality,Family,,Stressed,Free,,,,,,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,3,3,3,1,5,5,5,5,9,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,Pets,,,,,,,,,Peaceful,,,,,Weekly,Daily,,,,,Peaceful,,,,,5,4,4,5,4,5,4,4,4,5,4,5,,,,,Disappointed,,,,,,"Yes, in 2020",,,,,Peaceful,,,,,,,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Career & Finances,Relationships,Mental health,Family,Physical health,Spirituality,Family,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,5,5,3,3,8,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,Optimistic,,,,5,5,5,2,5,4,5,5,5,2,5,4,,,Indifferent,,,,,,,,,"Yes, in 2021","Yes, in 2022",Stressed,,Peaceful,,,,Frustrated,,,Mental health,Relationships,Family,Physical health,Career & Finances,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Family,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,4,,Informatica e scienze dell'informazione,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,2,,,,,Peaceful,,,,,Weekly,Every 3 months,,,,,,,,Stressed,,4,4,4,5,4,4,4,4,4,5,4,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Family,Relationships,Career & Finances,Mental health,Spirituality,Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality,Family,,Stressed,,,,,,,,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,5,4,3,2,5,4,3,2,6,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,Roommates,,,2,Bored,Stressed,,,,,Frustrated,,,Weekly,Daily,,Disappointed,Vulnerable,Lonely,,,,,,5,5,5,5,5,5,5,4,4,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,,"Yes, in 2021",,,Optimistic,Peaceful,Lonely,,,,,,Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality,Relationships,Family,Mental health,Career & Finances,Physical health,Spirituality,Family,,Stressed,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,3,3,4,6,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Both,Family,Friends,,,,,7,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,1,1,1,1,3,1,1,1,1,1,1,1,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Career & Finances,Relationships,Physical health,Mental health,Spirituality,Job,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Ingegneria e tecnologia,Male,40-50,I am Italian,White,
IT,Study,Family,,,,,,3,Bored,,,,Peaceful,,,,Anxious,Daily,Daily,,,,,,,Excited,,,3,3,4,3,4,4,2,2,2,3,4,4,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",,,Peaceful,,,,,Anxious,,Physical health,Family,Career & Finances,Relationships,Mental health,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Scholarship,Bored,,,,,Lonely,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,5,5,5,5,8,,Ingegneria e tecnologia,Male,18-20,I am Italian,White,
IT,Study,Family,,,,,,1,Bored,,,Optimistic,,,Frustrated,,,Daily,Daily,,,,Lonely,,,,,Bored,4,2,4,2,3,4,4,1,2,2,2,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",Stressed,,,Lonely,,,Frustrated,,,Relationships,Career & Finances,Family,Physical health,Mental health,Spirituality,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Scholarship,Bored,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,5,9,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,,,,,Anxious,Daily,Weekly,,,,,,,,Stressed,,1,1,3,2,1,3,1,1,3,2,1,2,Free,,Indifferent,,,,,,Free,,,"Yes, in 2021",,,Optimistic,Peaceful,,,,,,,Physical health,Relationships,Career & Finances,Mental health,Family,Spirituality,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Family,Bored,,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,3,4,3,5,5,5,5,7,,Ingegneria e tecnologia,Male,20-24,I am Italian,Other / I prefer not to answer,
IT,Study,Family,,Pets,,,,,,,,,,,Frustrated,,Anxious,Daily,Daily,,,,,,,Excited,,,4,4,5,5,5,5,5,5,5,5,5,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Physical health,Career & Finances,Family,Mental health,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Other / I prefer not to answer,,Stressed,,,,,,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,3,3,4,8,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,4,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,,,,Optimistic,Excited,,,5,5,5,5,5,5,5,5,3,5,3,4,,,,,Disappointed,,,,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,Relationships,Mental health,Career & Finances,Physical health,Family,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,5,5,9,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,,,,,2,,Stressed,,,,,Frustrated,,Anxious,Weekly,Weekly,,,,,Peaceful,Optimistic,Excited,,,5,5,3,3,5,5,4,3,2,3,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Relationships,Career & Finances,Mental health,Physical health,Family,Spirituality,Mental health,Relationships,Career & Finances,Physical health,Family,Spirituality,Other / I prefer not to answer,,Stressed,,,,,Disappointed,,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,4,2,1,3,5,4,2,5,8,,Ingegneria e tecnologia,Not-binary,20-24,I've always lived in Milan,White,
IT,Study,Family,,,,,,3,,,,Optimistic,Peaceful,,,,,Daily,Weekly,,,,,,,Excited,,,5,4,3,5,4,4,4,2,2,5,4,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",,,Peaceful,Lonely,,,,,,Relationships,Mental health,Family,Physical health,Career & Finances,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Family,Bored,,,,Optimistic,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,5,5,3,3,8,,Ingegneria e tecnologia,Male,20-24,I am Italian,Other / I prefer not to answer,
IT,Both,Family,,,,,,4,,Stressed,,,,,,,,Daily,Daily,,Disappointed,,,,,,,,5,5,5,5,5,5,5,4,3,4,3,5,,,,,,,Threatened,,,No,,,,,,,,,,,,,Family,Relationships,Spirituality,Mental health,Physical health,Career & Finances,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,,,,,,,,Disappointed,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,5,2,3,3,6,,Ingegneria e tecnologia,Female,24-30,I've always lived in Milan,White,
IT,Study,Family,,Pets,,,,,Bored,,,,Peaceful,,Frustrated,,,Daily,Daily,Anxious,,,,,,,,,4,4,3,4,5,5,4,4,2,4,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Relationships,Family,Spirituality,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Family,Bored,,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,5,4,3,3,7,,Ingegneria e tecnologia,Female,18-20,I am Italian,White,
IT,Study,Family,,,,,,3,Bored,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Ingegneria e tecnologia,Female,20-24,I am Italian,White,
IT,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,Optimistic,,,Bored,5,4,4,4,4,4,4,2,2,4,2,2,,,,,Disappointed,Hostile,,,,,,"Yes, in 2021","Yes, in 2022",,,Peaceful,Lonely,,,,,,Relationships,Career & Finances,Mental health,Physical health,Family,Spirituality,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Family,Bored,,Free,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,5,5,4,4,10,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,4,Bored,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,Optimistic,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,Indifferent,,Disappointed,Hostile,,,,,"Yes, in 2020",,,,,Peaceful,Lonely,,,,,,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Family,Bored,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,5,4,4,8,,Ingegneria e tecnologia,Male,20-24,I am Italian,White,
IT,Study,Family,,,,,,2,,,,,Peaceful,,,,,Daily,Daily,,,,,,Optimistic,,,,4,4,4,4,4,4,4,3,4,4,4,4,Free,,Indifferent,,,,,,Free,,,"Yes, in 2021",,Stressed,,,Lonely,,,,,,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality,Family,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,5,5,3,4,9,,Ingegneria e tecnologia,Male,24-30,I've always lived in Milan,Other / I prefer not to answer,
IT,Study,Family,,Pets,,,,,,,Free,Optimistic,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,Stressed,,1,1,2,1,1,1,1,1,2,1,1,1,Free,Optimistic,,,,,,,Free,,,,"Yes, in 2022",,Optimistic,Peaceful,,,,Frustrated,,,Family,Career & Finances,Mental health,Relationships,Physical health,Spirituality,Mental health,Family,Physical health,Career & Finances,Relationships,Spirituality,Family,,Stressed,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,7,,Informatica e scienze dell'informazione,Female,18-20,I am Italian,White,
