#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,1 before COVID-19?,2 before COVID-19?,3 before COVID-19?,4 before COVID-19?,5 before COVID-19?,6 before COVID-19?,1 during COVID-19?,2 during COVID-19?,3 during COVID-19?,4 during COVID-19?,5 during COVID-19?,6 during COVID-19?,Main Income,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
US,Work,Family,,Pets,,,,,Bored,Stressed,,,,Lonely,,,,Monthly,Daily,Bored,,,,,Lonely,Vulnerable,,,5,5,5,5,4,4,5,2,1,3,3,3,,,,,,Hostile,Threatened,,,No,,,,,,,,,,,,,Mental health,Career & Finances,Relationships,Physical health,Family,Spirituality,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Self - employed,0,,,Frustrated,Disappointed,Vulnerable,,,,,"Yes, I quit my job",Career prospects,4,2,4,2,5,5,5,3,5,Real Estate,,Female,24-30,I come from abroad,Asian,Frustrated
US,Work,Family,,,,,,4,,,,,Peaceful,,,,,Weekly,Weekly,,,,,,,,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,Optimistic,,Vulnerable,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Career & Finances,Family,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,Frustrated,,,,,,,"Yes, my company went out of business",Career prospects,5,5,5,5,5,5,5,5,3,Manufacturing & Logistics,,Male,24-30,I'm from somewhere else in the US,White,Lonely
US,Work,,,,Roommates,,,9,Bored,,,,,,Disappointed,,,Monthly,Every 3 months,Bored,,,Hopeful,,,,,Anxious,4,4,4,4,3,5,4,4,4,3,4,5,,,,,Disappointed,,,Anxious,Free,No,,,,,,,,,,,,,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,Aggresive,Frustrated,,,,,,,"No, it didn’t change",,3,3,4,4,3,3,4,4,5,Financials,,Male,30-40,I'm from New York State,White,Lonely
US,Work,Family,,,,,,2,,,,,Peaceful,,,,,Weekly,Weekly,,,,,Peaceful,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,Physical health,Mental health,Career & Finances,Spirituality,Relationships,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,Free,,,,,,,,,"No, it didn’t change",,3,3,3,3,3,3,3,3,8,Health Care,,Male,30-40,I come from abroad,Asian,Free
US,Study,Family,,,,,,2,,,Free,Optimistic,,,,Frustrated,,Weekly,Daily,,,Excited,Hopeful,,,Vulnerable,,,5,3,3,2,2,3,5,2,2,2,2,2,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Scholarship,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,5,5,3,2,,Engineering and Technology,Male,20-24,I come from abroad,Asian,Optimistic
US,Work,,,,,,Alone,,,,,,,,,,,Monthly,Every 3 months,,,,,,Lonely,,,Anxious,5,4,4,3,5,5,4,,3,2,4,5,,,,,,,,Anxious,,,,"Yes, in 2021",,Stressed,,,,,,,,,Relationships,Career & Finances,Physical health,Mental health,Spirituality,Family,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Unemployed,0,,Aggresive,,,,,,,,"Yes, my contract ended",Work environment,5,5,4,4,5,3,4,5,9,Information Technology,,Male,24-30,I'm from New York State,White,Stressed
US,Work,,,,Roommates,,,3,,,,Optimistic,Peaceful,,,,,Weekly,Daily,,,,,,Lonely,,,,5,5,3,5,5,5,4,3,2,5,4,4,,,Indifferent,,,,Threatened,,,No,,,,,,,,,,,,,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,Lonely,,,stressed,"Yes, due to smartworking",Work environment,5,1,2,1,5,5,4,4,8,Media & Entertainment,,Female,30-40,I'm from somewhere else in the US,White,Lonely
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Monthly,Bored,,,,Peaceful,,,,,2,2,2,3,3,3,3,3,3,4,4,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,Lonely,,,,"No, it didn’t change",,3,3,3,3,3,3,3,3,5,Energy production & Distribution,,Male,24-30,I come from abroad,Asian,Lonely
US,Work,,Friends,,,,,1,,,Free,,Peaceful,,,,,Monthly,Monthly,Bored,,,,,Lonely,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Homemaker,0,Free,,,,,,,,,"No, it didn’t change",,5,3,5,5,5,5,5,5,5,Information Technology,,Male,24-30,I come from abroad,White,Stressed
US,Study,Family,,,,,,5,,,Free,Optimistic,Peaceful,,,,,Weekly,Daily,,,,,,Lonely,,Disappointed,Anxious,4,4,5,4,4,3,4,5,4,4,5,4,Proud,Optimistic,,,,,,,Free,No,,,,,,,,,,,,,Relationships,Family,Career & Finances,Mental health,Physical health,Spirituality,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,Family,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,4,2,2,3,2,2,4,5,,Economics,Female,24-30,I'm from somewhere else in the US,Asian,Stressed
